stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
CVC1-L2_B1_4_L1_4-dur,3.7432129755466685,6.478011040597988,1.8707581908236794,1.093215182411349,1.680304337187602,1.6521132922223942
CVC1-L2_B1_4_L1_4-dur-rate,4.846022249068687,6.719242988014357,1.5842000303368673,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_B1_4_L1_4-rate,4.846022249068687,6.782901225733235,1.9063102796303033,1.086866595588951,1.2094922773666248,1.1199099672603037
CVC1-L2_C1_4_C1_5-int-dur-rate,4.404145077720208,5.901889525308971,1.984669031834314,1.417604283965659,1.6009305893989223,1.542939637075397
CVC1-L2_C1_4_L1_4-int,2.890152196453865,5.645747793160484,1.3123598252738842,1.672915401346207,1.6073180829744045,1.539511148766953
CVC1-L2_C1_4_L1_4-int-dur,2.890152196453865,5.641593800523011,1.3128130435351888,1.0932151824113479,1.6803043371876023,1.652113292222394
CVC1-L2_C1_4_L1_4-int-rate,4.846022249068687,5.760816447045345,1.3650059605275935,1.672915401346208,1.6073180829744038,1.5395111487669528
CVC1-L2_C1_4_L1_4-int-dur-rate,4.846022249068687,5.765655224897065,1.3530458449436957,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_C1_4_L1_4-dur,2.890152196453865,5.585960276400184,1.5866947832202065,1.0932151824113479,1.6803043371876023,1.652113292222394
CVC1-L2_C1_4_L1_4-dur-rate,4.846022249068687,5.633370213473604,1.7522993072376443,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_C1_4_L1_4-rate,4.846022249068687,5.628745586894258,1.7553669128233933,1.672915401346208,1.6073180829744038,1.5395111487669528
CVC1-L2_B1_5_B1_4-int-dur-rate,3.7432129755466685,6.349076194216587,1.6707412282281482,1.086866595588951,1.2094922773666248,1.1199099672603041
CVC1-L2_B1_5_L1_4-int,3.347167636590528,6.262935822474808,1.4136941981249558,1.479335857997757,1.6599386313014097,1.6586822817190023
CVC1-L2_B1_5_L1_4-int-dur,3.347167636590528,6.21050406993234,1.4701954007399696,1.0932151824113492,1.680304337187602,1.6521132922223944
CVC1-L2_B1_5_L1_4-int-rate,4.846022249068687,6.40746973923246,1.5916047948328083,1.479335857997757,1.6599386313014106,1.6586822817190028
CVC1-L2_B1_5_L1_4-int-dur-rate,4.846022249068687,6.438362618051956,1.3725005774466836,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_B1_5_L1_4-dur,3.347167636590528,6.180904580321219,1.4422511221652796,1.0932151824113492,1.680304337187602,1.6521132922223944
CVC1-L2_B1_5_L1_4-dur-rate,4.846022249068687,6.296448770992253,2.164412395927178,1.0932151824113485,1.6803043371876016,1.6521132922223933
CVC1-L2_B1_5_L1_4-rate,4.846022249068687,6.273792229772814,2.099633021876029,1.479335857997757,1.6599386313014106,1.6586822817190028
CVC1-L2_C1_5_C1_4-int-dur-rate,2.890152196453865,4.836284415013863,2.23273961269932,1.672915401346207,1.6073180829744045,1.539511148766953
CVC1-L2_C1_5_L1_4-int,4.404145077720208,5.378476522038471,1.322036117091266,1.417604283965659,1.6009305893989223,1.542939637075397
